Sample Number,PolicyStartDate,AMI_monthly_premium,AMI_yearly_premium,AMI_agreed_value_minimum,AMI_agreed_value_maximum,AMI_Error_code,AMI_selected_car_variant,AMI_selected_address,AMI_agreed_value,AMI_No_claims_bonus
11041,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10259,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10281,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10261,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11769,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10263,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11367,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10265,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10812,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11934,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10268,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10269,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10270,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10271,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10272,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10273,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10274,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10275,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10702,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10299,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11184,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10279,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10280,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10333,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10777,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10283,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10284,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10285,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10286,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10287,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10288,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10289,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11929,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10291,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10292,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11628,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10503,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11031,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10296,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10297,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10298,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11805,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10300,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11998,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11364,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10303,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10304,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10773,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11006,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11519,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11274,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10309,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11603,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10311,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11654,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10039,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10314,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10315,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10316,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10317,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10318,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11305,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10320,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10321,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10322,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10323,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11819,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10325,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10533,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10327,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11194,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10329,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10330,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11262,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10471,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10542,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10554,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10984,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10862,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10337,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10161,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10166,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10340,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10341,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10799,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10883,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10470,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10345,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
